content
"Q: Jika uang Ana Rp140000, pernyataan mana yang benar?"
"A: Uang Budi adalah Rp233333."
"B: Jumlah uang mereka Rp373333."
"C: Jumlah uang mereka Rp393333."
"D: Uang Budi adalah Rp160000."
"Kunci: A,B"
""
"TYPE: MR"
"Stimulus: Perbandingan uang Ana dan Budi adalah 3:5."
"Q: Jika uang Ana Rp150000, pernyataan mana yang benar?"
"A: Uang Budi adalah Rp250000."
"B: Jumlah uang mereka Rp400000."
"C: Jumlah uang mereka Rp420000."
"D: Uang Budi adalah Rp170000."
"Kunci: A,B"
""
"TYPE: MR"
"Stimulus: Perbandingan uang Ana dan Budi adalah 3:5."
"Q: Jika uang Ana Rp160000, pernyataan mana yang benar?"
"A: Uang Budi adalah Rp266666."
"B: Jumlah uang mereka Rp426666."
"C: Jumlah uang mereka Rp446666."
"D: Uang Budi adalah Rp180000."
"Kunci: A,B"
""
"TYPE: MR"
"Stimulus: Perbandingan uang Ana dan Budi adalah 3:5."
"Q: Jika uang Ana Rp170000, pernyataan mana yang benar?"
"A: Uang Budi adalah Rp283333."
"B: Jumlah uang mereka Rp453333."
"C: Jumlah uang mereka Rp473333."
"D: Uang Budi adalah Rp190000."
"Kunci: A,B"
""
"TYPE: MR"
"Stimulus: Perbandingan uang Ana dan Budi adalah 3:5."
"Q: Jika uang Ana Rp180000, pernyataan mana yang benar?"
"A: Uang Budi adalah Rp300000."
"B: Jumlah uang mereka Rp480000."
"C: Jumlah uang mereka Rp500000."
"D: Uang Budi adalah Rp200000."
"Kunci: A,B"
""
"TYPE: MR"
"Stimulus: Perbandingan uang Ana dan Budi adalah 3:5."
"Q: Jika uang Ana Rp190000, pernyataan mana yang benar?"
"A: Uang Budi adalah Rp316666."
"B: Jumlah uang mereka Rp506666."
"C: Jumlah uang mereka Rp526666."
"D: Uang Budi adalah Rp210000."
"Kunci: A,B"
""
"TYPE: MR"
"Stimulus: Perbandingan uang Ana dan Budi adalah 3:5."
"Q: Jika uang Ana Rp200000, pernyataan mana yang benar?"
"A: Uang Budi adalah Rp333333."
"B: Jumlah uang mereka Rp533333."
"C: Jumlah uang mereka Rp553333."
"D: Uang Budi adalah Rp220000."
"Kunci: A,B"
""
"TYPE: MR"
"Stimulus: Perbandingan uang Ana dan Budi adalah 3:5."
"Q: Jika uang Ana Rp210000, pernyataan mana yang benar?"
"A: Uang Budi adalah Rp350000."
"B: Jumlah uang mereka Rp560000."
"C: Jumlah uang mereka Rp580000."
"D: Uang Budi adalah Rp230000."
"Kunci: A,B"
""
"TYPE: MR"
"Stimulus: Perbandingan uang Ana dan Budi adalah 3:5."
"Q: Jika uang Ana Rp220000, pernyataan mana yang benar?"
"A: Uang Budi adalah Rp366666."
"B: Jumlah uang mereka Rp586666."
"C: Jumlah uang mereka Rp606666."
"D: Uang Budi adalah Rp240000."
"Kunci: A,B"
""
"TYPE: MR"
"Stimulus: Perbandingan uang Ana dan Budi adalah 3:5."
"Q: Jika uang Ana Rp230000, pernyataan mana yang benar?"
"A: Uang Budi adalah Rp383333."
"B: Jumlah uang mereka Rp613333."
"C: Jumlah uang mereka Rp633333."
"D: Uang Budi adalah Rp250000."
"Kunci: A,B"
""
"TYPE: MR"
"Stimulus: Perbandingan uang Ana dan Budi adalah 3:5."
"Q: Jika uang Ana Rp240000, pernyataan mana yang benar?"
"A: Uang Budi adalah Rp400000."
"B: Jumlah uang mereka Rp640000."
"C: Jumlah uang mereka Rp660000."
"D: Uang Budi adalah Rp260000."
"Kunci: A,B"
""
"TYPE: MR"
"Stimulus: Perbandingan uang Ana dan Budi adalah 3:5."
"Q: Jika uang Ana Rp250000, pernyataan mana yang benar?"
"A: Uang Budi adalah Rp416666."
"B: Jumlah uang mereka Rp666666."
"C: Jumlah uang mereka Rp686666."
"D: Uang Budi adalah Rp270000."
"Kunci: A,B"
""
"TYPE: MR"
"Stimulus: Perbandingan uang Ana dan Budi adalah 3:5."
"Q: Jika uang Ana Rp260000, pernyataan mana yang benar?"
"A: Uang Budi adalah Rp433333."
"B: Jumlah uang mereka Rp693333."
"C: Jumlah uang mereka Rp713333."
"D: Uang Budi adalah Rp280000."
"Kunci: A,B"
""
"TYPE: MR"
"Stimulus: Perbandingan uang Ana dan Budi adalah 3:5."
"Q: Jika uang Ana Rp270000, pernyataan mana yang benar?"
"A: Uang Budi adalah Rp450000."
"B: Jumlah uang mereka Rp720000."
"C: Jumlah uang mereka Rp740000."
"D: Uang Budi adalah Rp290000."
"Kunci: A,B"
""
"TYPE: TF"
"Stimulus: Sebuah mobil menempuh jarak 190 km saat berangkat dengan kecepatan 50 km/jam, lalu pulang dalam 4 jam."
"Q: Nilai benar/salah pernyataan berikut berdasarkan data di atas."
"P1: Waktu berangkat adalah 3 jam."
"P2: Kecepatan rata-rata saat pulang adalah 47 km/jam."
"P3: Total waktu perjalanan pergi-pulang adalah 7 jam."
"Kunci: T, T, T"
""
"TYPE: TF"
"Stimulus: Sebuah mobil menempuh jarak 200 km saat berangkat dengan kecepatan 55 km/jam, lalu pulang dalam 4 jam."
"Q: Nilai benar/salah pernyataan berikut berdasarkan data di atas."
"P1: Waktu berangkat adalah 3 jam."
"P2: Kecepatan rata-rata saat pulang adalah 50 km/jam."
"P3: Total waktu perjalanan pergi-pulang adalah 7 jam."
"Kunci: T, T, T"
""
"TYPE: TF"
"Stimulus: Sebuah mobil menempuh jarak 210 km saat berangkat dengan kecepatan 60 km/jam, lalu pulang dalam 4 jam."
"Q: Nilai benar/salah pernyataan berikut berdasarkan data di atas."
"P1: Waktu berangkat adalah 3 jam."
"P2: Kecepatan rata-rata saat pulang adalah 52 km/jam."
"P3: Total waktu perjalanan pergi-pulang adalah 7 jam."
"Kunci: T, T, T"
""
"TYPE: TF"
"Stimulus: Sebuah mobil menempuh jarak 220 km saat berangkat dengan kecepatan 45 km/jam, lalu pulang dalam 5 jam."
"Q: Nilai benar/salah pernyataan berikut berdasarkan data di atas."
"P1: Waktu berangkat adalah 4 jam."
"P2: Kecepatan rata-rata saat pulang adalah 44 km/jam."
"P3: Total waktu perjalanan pergi-pulang adalah 9 jam."
"Kunci: T, T, T"
""
"TYPE: TF"
"Stimulus: Sebuah mobil menempuh jarak 230 km saat berangkat dengan kecepatan 50 km/jam, lalu pulang dalam 5 jam."
"Q: Nilai benar/salah pernyataan berikut berdasarkan data di atas."
"P1: Waktu berangkat adalah 4 jam."
"P2: Kecepatan rata-rata saat pulang adalah 46 km/jam."
"P3: Total waktu perjalanan pergi-pulang adalah 9 jam."
"Kunci: T, T, T"
""
"TYPE: TF"
"Stimulus: Sebuah mobil menempuh jarak 240 km saat berangkat dengan kecepatan 55 km/jam, lalu pulang dalam 5 jam."
"Q: Nilai benar/salah pernyataan berikut berdasarkan data di atas."
"P1: Waktu berangkat adalah 4 jam."
"P2: Kecepatan rata-rata saat pulang adalah 48 km/jam."
"P3: Total waktu perjalanan pergi-pulang adalah 9 jam."
"Kunci: T, T, T"
""
"TYPE: TF"
"Stimulus: Sebuah mobil menempuh jarak 250 km saat berangkat dengan kecepatan 60 km/jam, lalu pulang dalam 5 jam."
"Q: Nilai benar/salah pernyataan berikut berdasarkan data di atas."
"P1: Waktu berangkat adalah 4 jam."
"P2: Kecepatan rata-rata saat pulang adalah 50 km/jam."
"P3: Total waktu perjalanan pergi-pulang adalah 9 jam."
"Kunci: T, T, T"
""
"TYPE: TF"
"Stimulus: Sebuah mobil menempuh jarak 260 km saat berangkat dengan kecepatan 45 km/jam, lalu pulang dalam 6 jam."
"Q: Nilai benar/salah pernyataan berikut berdasarkan data di atas."
"P1: Waktu berangkat adalah 5 jam."
"P2: Kecepatan rata-rata saat pulang adalah 43 km/jam."
"P3: Total waktu perjalanan pergi-pulang adalah 11 jam."
"Kunci: T, T, T"
""
"TYPE: TF"
"Stimulus: Sebuah mobil menempuh jarak 270 km saat berangkat dengan kecepatan 50 km/jam, lalu pulang dalam 6 jam."
"Q: Nilai benar/salah pernyataan berikut berdasarkan data di atas."
"P1: Waktu berangkat adalah 5 jam."
"P2: Kecepatan rata-rata saat pulang adalah 45 km/jam."
"P3: Total waktu perjalanan pergi-pulang adalah 11 jam."
"Kunci: T, T, T"
""
"TYPE: TF"
"Stimulus: Sebuah mobil menempuh jarak 280 km saat berangkat dengan kecepatan 55 km/jam, lalu pulang dalam 6 jam."
"Q: Nilai benar/salah pernyataan berikut berdasarkan data di atas."
"P1: Waktu berangkat adalah 5 jam."
"P2: Kecepatan rata-rata saat pulang adalah 46 km/jam."
"P3: Total waktu perjalanan pergi-pulang adalah 11 jam."
"Kunci: T, T, T"
""
"TYPE: TF"
"Stimulus: Sebuah mobil menempuh jarak 290 km saat berangkat dengan kecepatan 60 km/jam, lalu pulang dalam 5 jam."
"Q: Nilai benar/salah pernyataan berikut berdasarkan data di atas."
"P1: Waktu berangkat adalah 4 jam."
"P2: Kecepatan rata-rata saat pulang adalah 58 km/jam."
"P3: Total waktu perjalanan pergi-pulang adalah 9 jam."
"Kunci: T, T, T"
""
"TYPE: TF"
"Stimulus: Sebuah mobil menempuh jarak 300 km saat berangkat dengan kecepatan 45 km/jam, lalu pulang dalam 7 jam."
"Q: Nilai benar/salah pernyataan berikut berdasarkan data di atas."
"P1: Waktu berangkat adalah 6 jam."
"P2: Kecepatan rata-rata saat pulang adalah 42 km/jam."
"P3: Total waktu perjalanan pergi-pulang adalah 13 jam."
"Kunci: T, T, T"
""
"TYPE: TF"
"Stimulus: Sebuah mobil menempuh jarak 310 km saat berangkat dengan kecepatan 50 km/jam, lalu pulang dalam 7 jam."
"Q: Nilai benar/salah pernyataan berikut berdasarkan data di atas."
"P1: Waktu berangkat adalah 6 jam."
"P2: Kecepatan rata-rata saat pulang adalah 44 km/jam."
"P3: Total waktu perjalanan pergi-pulang adalah 13 jam."
"Kunci: T, T, T"
""
"TYPE: TF"
"Stimulus: Sebuah mobil menempuh jarak 320 km saat berangkat dengan kecepatan 55 km/jam, lalu pulang dalam 6 jam."
"Q: Nilai benar/salah pernyataan berikut berdasarkan data di atas."
"P1: Waktu berangkat adalah 5 jam."
"P2: Kecepatan rata-rata saat pulang adalah 53 km/jam."
"P3: Total waktu perjalanan pergi-pulang adalah 11 jam."
"Kunci: T, T, T"
""
"TYPE: TF"
"Stimulus: Sebuah mobil menempuh jarak 330 km saat berangkat dengan kecepatan 60 km/jam, lalu pulang dalam 6 jam."
"Q: Nilai benar/salah pernyataan berikut berdasarkan data di atas."
"P1: Waktu berangkat adalah 5 jam."
"P2: Kecepatan rata-rata saat pulang adalah 55 km/jam."
"P3: Total waktu perjalanan pergi-pulang adalah 11 jam."
"Kunci: T, T, T"
""
